term,pos,comment,ach,comment_ach,af,comment_af,am,comment_am,ar,comment_ar,az,comment_az,be,comment_be,bg,comment_bg,bn,comment_bn,bs,comment_bs,ca,comment_ca,cmn,comment_cmn,cs,comment_cs,cy,comment_cy,da,comment_da,de,comment_de,el,comment_el,en_GB,comment_en_GB,eo,comment_eo,es,comment_es,es_CL,comment_es_CL,es_CO,comment_es_CO,es_DO,comment_es_DO,es_MX,comment_es_MX,es_VE,comment_es_VE,et,comment_et,eu,comment_eu,fa,comment_fa,fi,comment_fi,fil,comment_fil,fr,comment_fr,he,comment_he,hi,comment_hi,hr,comment_hr,hu,comment_hu,hy,comment_hy,id,comment_id,is,comment_is,it,comment_it,ja,comment_ja,ka,comment_ka,kk,comment_kk,km,comment_km,ko,comment_ko,ku_IQ,comment_ku_IQ,ky,comment_ky,la,comment_la,lt,comment_lt,lv,comment_lv,mk,comment_mk,ml,comment_ml,mn,comment_mn,mr_IN,comment_mr_IN,ms,comment_ms,my,comment_my,nb,comment_nb,ne,comment_ne,nl,comment_nl,pam,comment_pam,pl,comment_pl,pt,comment_pt,pt_BR,comment_pt_BR,ro,comment_ro,ru,comment_ru,sah,comment_sah,si,comment_si,sk,comment_sk,sl,comment_sl,sn,comment_sn,sq,comment_sq,sr,comment_sr,sr@latin,comment_sr@latin,sv,comment_sv,szl,comment_szl,ta,comment_ta,te,comment_te,th,comment_th,tr,comment_tr,tt,comment_tt,uk,comment_uk,ur,comment_ur,uz@Cyrl,comment_uz@Cyrl,uz@Latn,comment_uz@Latn,vi,comment_vi,yo,comment_yo,zh,comment_zh,zh-Hans,comment_zh-Hans,zh_CN,comment_zh_CN,zh_HK,comment_zh_HK,zh_TW,comment_zh_TW,zu,comment_zu
parse,Verb,,,,ontleed,,,,,,,,,,,,,,,,,,,,,,,,fortolke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,analyser,,פענוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parse,,,,analizować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,解析,,,
passphrase,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,adgangskode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,phrase de passe,,מילת צופן,,,,lozinka,,,,,,,,,,passphrase,,パスフレーズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wachtwoordzin,,,,hasło,,,,,,,,,,,,,,,,,,,,,,,,,,lösenfras,,,,,,సంకేతపదము,,,,parola,,,,,,,,,,,,,,,,,,,,,,,,密碼,,,
password,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lösenfras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pay,Verb,,,,betaal,,,,,,,,,,,,,,,,,,,,,,,,betale,,,,,,,,pagi,,pagar,,,,,,,,,,,,,,,,پرداخت کردن,,,,,,payer,,לשלם,,,,platiti,,,,,,,,,,pagare,,支払う,,გადახდა,,,,,,,,,,,,pensare pensavisse pensatum,,,,,,,,,,,,,,,,,,,,,,betaal,,,,płacić,,,,,,,plătește,,,,,,,,,,,,,,,,,,,betala,,,,,,చెల్లించు,,,,ödemek,,,,,,,,,,,,,,,,,,,,支付,,,,付,付給 付錢 付款,,
payment,Noun,,,,betaling,,,,,,,,,,,,,,,,,,,,,,,,betaling,,,,,,,,pago,,pago,,,,,,,,,,,,,,,,پرداخت,,,,,,paiement,,תשלום,,,,uplata,,,,,,,,,,pagamento,,支払い,,გადახდა,,,,,,,,,,,,pensitatio pensitationis (f.),,,,,,,,,,,,,,,,,,,,,,betaling,,,,płatność,,,,,,,plată,,,,,,,,,,,,,,,,,,,betalning,,,,,,చెల్లింపు,,,,ödeme,,,,,,,,,,,,,,,,,,,,支付，付款,,,,付款,,,
payment request,Noun,,,,betalings versoek,,,,,,,,,,,,,,,,,,,,,,,,betalingsanmodning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,demande de paiement,,בקשת תשלום,,,,,,,,,,,,,,richiesta di pagamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,betalingsverzoek,,,,żądanie zapłaty,,,,,,,cerere de plată,,,,,,,,,,,,,,,,,,,betalningsbegäran,,,,,,చెల్లింపు అభ్యర్ధన,,,,ödeme talebi,,,,,,,,,,,,,,,,,,,,支付请求,,,,付款要求,,,
peer,Noun,,,,portuur,,,,,,,,,,,,,,,,,,,,,,,,knude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paire,,,,,,,,,Fél? A társ nem eléggé formális. A móló tükörfordítás a magyar köznyelvben sehol sincs használatban.,,,,,,,,,ピア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,węzeł,,,,,,,,участник,,,,,,,,,,,,,,,,,,,,,,,,తోటి,,,,eş,,,,учасник,,,,,,,,,,,,,,,,,,,,節點,,,
peers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,узлам,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peers,Noun,,,,portuurs,,,,,,,,,,,,,,,,,,,,,,,,knuder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paires,,,,,,,,,Felek? A társak nem eléggé formális. A mólók tükörfordítás a magyar köznyelvben sehol sincs használatban.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,węzły,,,,,,,,узлы,,,,,,,,,,,,,,,,,,,,,,,,తోటివాళ్లు,,,,,,,,учасники,,,,,,,,,,,,,,,,,,,,用戶群,,,
ping,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
possible,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
priority,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,prioritet,,,,,,,,prioritato,,prioridad,,,,,,,,,,,,,,,,,,prioriteetti,,,,priorité,,עדיפות,,,,prvenstvo,"prednost, prioritet...",,,,,,,,,priorità,,,,პრიორიტეტი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prioriteit,,,,priorytet,,,,,,,prioritate,,,,,,,,,,,,,,,,,,,,,,,,,ప్రాధాన్యత,,,,,,,,пріоритет,,,,,,,,,,,,,,,,,,,,優先度,,,
private key,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,privat nøgle,,,,,,,,,,clave privada,"""llave privada"" may be a valid translation, but ""clave privada"" is much more common in cryptography.",,,,,,,,,,,,,,,,,,,,,clé privée,,מפתח פרטי,,,,privatni ključ,,,,,,,,,,chiave privata,,秘密鍵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prive sleutel,,,,klucz prywatny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,özel anahtar,,,,власний ключ,,,,,,,,,,,,,,,,,,,,私鑰,,,
process,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
process,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
processing,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
progress,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proxy,Noun,,,,volmag,volmagtige,,,,,,,,,,,,,,,,,,,,,,,proxy,,,,,,,,prokurilo,,proxy,,,,,,,,,,,,,,,,,,,,,,"serveur mandaire, mandataire",,פרוקסי,,,,proxy,,,,,,,,,,,,プロキシ,,პროქსი,,,,,,,,,,,,vicarius (m.),,,,,,,,,,,,,,,,,,,,,,proxy,,,,,"Zależne od kontekstu. Jeśli w formie technicznej, to raczej nie korzysta się z formy ""pośrednik"" a korzysta z oryginalnej angielskiej ""proxy"".",,,,,,,прокси,,,,,,,,,,,,,,,,,,proxy,,,,,,,,,,,,,,проксі,,,,,,,,,,,,,,,,代理,,,,代理伺服器,,,
prune,Verb,-prune=1000,,,,,,,,,,,,,,,,,,,,,,,,,,,beskære,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,élaguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prune,Do not translate this technical term (and advanced setting).,,,przycinać,imperative,,,,,,,,,,,,,,,,,,,,,,,,,gallra,,,,,,,,,,budamak,,,,,,,,,,,,,,,,,,,,,,,,修剪,,,
pruning,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,beskæring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,élagage,,,,,,,,,,,,,,,,potatura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snoeien,,,,przycinanie,,,,,,,,,,,,,,,,,,,,,,,,,,gallring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,修剪,,,
public key,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,offentlig nøgle,,,,,,,,,,clave pública,"""llave pública"" may be a valid translation, but ""clave pública"" is much more common in cryptography",,,,,,,,,,,,,,,,,,,,,clé publique,,מפתח ציבורי,,,,javni ključ,,,,,,,,,,chiave pubblica,,公開鍵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publieke sleutel,,,,klucz publiczny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,публічний ключ,,,,,,,,,,,,,,,,,,,,公鑰,,,
quit,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,tilfældig,,,,,,,,hazarda,,aleatorio,,,,,,,,,,,,,,,,,,,,,,aléatoire,,אקראי,,,,nasumično,,,,,,,,,,casuale,,ランダムな,,შემთხვევითი,,,,,,,,,,,,fortuitus/a/um,,,,,,,,,,,,,,,,,,,,,,willekeurig,,,,losowy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,隨機,,,
reach,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alcanzar,,,,,,,,,,,,,,,,,,,,,,atteindre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dosięgać,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,聯絡,,,
reason,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reasons,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receive,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,modtage,,,,,,,,ricevi,,recibir,,,,,,,,,,,,,,,,,,,,,,recevoir,,קבלה,,,,primiti,,,,,,,,,,ricevere,,受け取る,,მიღება,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ontvangen,,,,odbierać,,,,,,,,,,,,,,,,,,,,,,,,,,ta emot,,,,,,అందుకొను,,,,,,,,,,,,,,,,,,,,,,,,接收，接受,,,,收,收受 收到 收錢 受款,,
receiving address,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recipient,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refund,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,tilbagebetaling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zwrot,,,,,,,rambursare,,,,,,,,,,,,,,,,,,,,,,,,,తిరిగి చెల్లింపు,,,,,,,,,,,,,,,,,,,,,,,,,,,,退款,,,
refund,Verb,,,,terugbetaling,,,,,,,,,,,,,,,,,,,,,,,,tilbagebetale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zwracać,,,,,,,înapoia,,,,,,,,,,,,,,,,,,,,,,,,,తిరిగి చెల్లించు,,,,,,,,,,,,,,,,,,,,,,,,,,,,退款,,,
reindex,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indexera om,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rejected,Adjective,,,,verwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rechazado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relay,Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,továbbítási,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relay,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,videresende,,übermitteln,,,,,,,,retransmitir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,továbbít,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doorsturen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aktarmak,,,,ретранслювати,,,,,,,,,,,,,,,,,,,,轉發,,,
request,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,anmodning,,,,,,,,peto,,solicitud,,,,,,,,,,,,,,,,درخواست,,,,,,demande,dans le cadre d'une demande paiement,בקשה,,,,zahtjev,,,,,,,,,,,,,,მოთხოვნა,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verzoek,"waarschijnlijk is verzoek beter, was eerst aanvraag",,,żądanie,,,,,,,cerere,,,,,,,,,,,,,,,,,,,begäran,,,,,,,,,,talep,,,,,,,,,,,,,,,,,,,,,,,,請求,,,
request,Verb,,,,versoek,,,,,,,,,,,,,,,,,,,,,,,,anmode,,,,,,,,,,solicitar,,,,,,,,,,,,,,,,درخواست کردن,,,,,,,,בקשה,,,,zahtjevati,(za)tražiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verzoek,,,,zażądać,,,,,,,cere,,,,,,,,,,,,,,,,,,,begära,,,,,,,,,,talep etmek,,,,,,,,,,,,,,,,,,,,,,,,要求,,,
require,Verb,,,,vereis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,requerir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reset,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,nulstille,,zurücksetzen,,,,,,,,restablecer,,,,,,,,,,,,,,,,تنظیم مجدد,,nollaa,,,,,,איפוס,,,,ponovno postaviti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reset,,,,zresetować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sıfırlamak,,,,,,,,,,,,,,,,,,,,,,,,重置,,,
resolve,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restart,Verb,,,,herbegin,herlaai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reiniciar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,herstart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restore,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rewind,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right-click,Noun,,,,regsklik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clic-droit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sağ-tık,,,,,,,,,,,,,,,,,,,,,,,,,,,
rpc,,remote procedure call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rpc,llamada a procedimiento remoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPC,,,
satoshis,Noun,"satoshi (sat) = millibitcoin (mBTC)
See https://en.wikipedia.org/wiki/Bitcoin#Units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,satošiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
save,Verb,,,,,,,,,,,,,,,,,,,,desar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
script,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,skript,,,,,,,,,,script,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,script,,,,skrypt,,,,,,,,скрипт,,,,,,,,,,,,,,,,,,,,,,,,,,,,betik,,,,,,,,,,,,,,,,,,,,,,,,指令碼,,,
scripts,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,skripter,,,,,,,,,,scripts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scripts,,,,skrypty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,指令碼,,,
second,,,,,,,,,ثانية,,,,,,,,,,,,segon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
second,Noun,,,,sekonde,,,,,,,,,,,,,,,,segons,,,,,,,,,,,,,,,,,,segundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seconde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sekund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
second (n),,,,,,,,,ن) ثانية),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seconds,Noun,,,,sekondes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,segundos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seconden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sekunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seconds (n),,,,,,,,,ن) ثانية),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
security,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
segwit,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,segwit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seleccionadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selected,Adjective,select is the verb. Selected is an adjective.,,,gekies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seleccionado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geselecteerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
send,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
