term,pos,comment,af,comment_af,ar,comment_ar,be,comment_be,bg,comment_bg,bn,comment_bn,ca,comment_ca,cs,comment_cs,da,comment_da,de,comment_de,el,comment_el,eo,comment_eo,es,comment_es,et,comment_et,fa,comment_fa,fi,comment_fi,fil,comment_fil,fr,comment_fr,gu,comment_gu,he,comment_he,hi,comment_hi,hr,comment_hr,hu,comment_hu,id,comment_id,is,comment_is,it,comment_it,ja,comment_ja,ka,comment_ka,km,comment_km,ko,comment_ko,ku,comment_ku,lt,comment_lt,lv,comment_lv,mk,comment_mk,ml,comment_ml,mn,comment_mn,mr,comment_mr,ms,comment_ms,my,comment_my,nl,comment_nl,no,comment_no,pl,comment_pl,pt_BR,comment_pt_BR,pt_PT,comment_pt_PT,ro,comment_ro,ru,comment_ru,si,comment_si,sk,comment_sk,sl,comment_sl,sq,comment_sq,sr,comment_sr,sv,comment_sv,ta,comment_ta,th_TH,comment_th_TH,tr,comment_tr,uk,comment_uk,ur,comment_ur,uz,comment_uz,vi,comment_vi,zh_CN,comment_zh_CN,zh_TW,comment_zh_TW
program,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,programma,,,,,,កម្មវិធី,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programs,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,programmi,,,,,,កម្មវិធីច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,progetto,,,,,,គំរោង,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proof of work,Noun,,,,,,,,,,,,,,,,,,,,,,,,prueba de trabajo,,,,,,,,,,Preuve de travail,,,,,,,,dokaz rada,rješavanje kriptografskog problema u zaglavlju bitcoin bloka,,,,,,,prova di lavoro,,,,,,ភស្តុតាងនៃការងារ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,доказательство работы,,,,,,dokaz dela,,,,,,bevis-på-arbete,,,,,,,,,,,,,,,,工作量证明,,,
protection,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,protezione,,,,,,ការគាំពារ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public key,Noun,,,,,,,,,,,,,,,,,,,,,,,,llave pública,,,,,,,,,,Clé Public,,,,,,,,javni ključ,,,,,,,,chiave pubblica,,,,,,ឃីកូដសាធារណ,,,,,,,,,,,,,,,,,,,,,,openbare sleutel,,,,,,,,,,,,открытый ключ,,,,,,,,,,,,publik nyckel,,,,,,,,,,,,,,,,公钥,,,
public ledger,Noun,,,,,,,,,,,,,,,,,,öffentliches Buchungssystem,,,,,,libro de transacciones público,,,,,,,,,,grand livre public,,,,,,,,javna glavna knjiga,,,,,,,,libro mastro pubblico,,,,,,,,,,,,,,publiska virsgrāmata,,,,പൊതു കണക്കുപുസ്‌തകം,,,,,,,,,,openbaar register,,,,,,,,,,,,публичный регистр,,,,,,javna knjiga,,,,,,publik liggare,,,,,,açık defter,,,,,,,,,,,,,
pull request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pull request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pull-begäran,Enligt Microsoft Terminology Collection,,,,,,,,,,,,,,,拉取请求,建议有英文注释,,
purchase,,,,,,,,,,,,,,,,,,,,,,,,,comprar ,,,,,,,,,,,,,,,,,,,,,,,,,,acquisto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inköp,,,,,,,,,,,,,,,,购买,,,
pyramid,Noun,,,,,,,,,,,,,,,,,,,,,,,,pirámide,,,,,,,,,,,,,,,,,,,,,,,,,,piramide,,,,,,ពីរ៉ាមីត,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ransomware,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,utpressningstrojan,,,,,,,,,,,,,,,,,,,
recover,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,återställa,,,,,,,,,,,,,,,,,,,
redirect,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reindirizzare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,omdirigera,,,,,,,,,,,,,,,,重定向,,,
reference,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,riferimento,,,,,,សេចក្តីព្រាង,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,citare,,,,,,យោង,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regular,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,regolare,,,,,,ទៀងទាត់,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regulated,Adjective,,,,,,,,,,,,,,,,,,,,,,,,regulado,,,,,,,,,,,,,,,,,,,,,,,,,,regolato,,,,,,ដែលទៀងទាត់,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reglerad,,,,,,,,,,,,,,,,,,,
relate,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rapportare,,,,,,ជាប់ទាក់ទិន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
related,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,collegato,,,,,,បានជាប់ទាក់ទិន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
release,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rilasciare,"o ""pubblicare""",,,,,ចេញផ្សាយ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remote,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fjärr-,,,,,,,,,,,,,,,,,,,
report,Noun,,,,,,,,,,,,,,,,,,,,,,,,informe,,,,,,,,,,,,,,,,,,,,,,,,,,relazione,,,,,,របាយការណ៍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
report,Verb,,,,,,,,,,,,,,,,,,,,,,,,informe,,,,,,,,,,,,,,,,,,,,,,,,,,segnalare,,,,,,ធ្វើរបាយការណ៍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reports,Noun,,,,,,,,,,,,,,,,,,,,,,,,informes,,,,,,,,,,,,,,,,,,,,,,,,,,relazioni,,,,,,របាយការណ៍ច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repository,Noun,,,,,,,,,,,,,,,,,,,,,,,,repositorio,,,,,,,,,,,,,,,,,,repozitorij,,repozitórium,http://hu.wikipedia.org/wiki/Repozit%C3%B3rium,,,,,repository,luogo di stoccaggio/deposito ,,,,,ឃ្លាំង,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,репозиторий,,,,,,odlagališče,,,,,,centralkatalog,,,,,,,,репозіторій,,,,,,,,仓库,大多特指Github仓库,,
resources,Noun,,,,,,,,,,,,,,,,,,,,,,,,recursos,,,,,,,,,,ressources,,,,,,,,resursi,,anyagok/források,Kontextustól függően.,,,,,risorse,,,,,,ធនធាន,,,,,,šaltiniai,,,,,,വിഭവങ്ങള്‍,,,,,,,,,,hulpmiddelen,,,,,,,,recursos,,,,ресурсы,,,,,,viri,,,,,,resurser,,,,,,kaynaklar,,ресурси,,,,,,,,资源,,,
responsible disclosure,Noun,,,,,,,,,,,,,,,,,,,,,,,,revelado responsable,,,,,,,,,,,,,,,,,,,,felelős közzététel,http://hu.wikipedia.org/wiki/Felel%C5%91s_k%C3%B6zz%C3%A9t%C3%A9tel,,,,,divulgazione responsabile,,,,,,ការបង្ហាញភាពទទួលខុសត្រូវ,,,,,,,,,,,,,,,,,,,,,,verantwoorde openbaarmaking,,,,,,,,,,,,раскрытие информации,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retail,Noun,,,,,,,,,,,,,,,,,,,,,,,,minorista,,,,,,,,,,,,,,,,,,maloprodaja,,,,,,,,al dettaglio,,,,,,រាយ(លក់),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,розница,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
return,Verb,,,,,,,,,,,,,,,,,,,,,,,,regresar,,,,,,,,,,,,,,,,,,,,,,,,,,ritornare,,,,,,ត្រឡប់,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reversal,Noun,,,,,,,,,,,,,,,,,,,,,,,,revés,depende del contexto. Revisar,,,,,,,,,,,,,,,,,obrat/poništenje,,,,,,,,inversione,,,,,,ផ្ទុយស្រឡះ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,отмена,,,,,,"storno, stornacija",,,,,,,,,,,,,,,,,,,,,,,,,
reverse,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,invertire,,,,,,ត្រឡប់ច្រាសវិញ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
savings,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparkapital,,,,,,,,,,,,,,,,,,,
schema,Noun,,,,,,,,,,,,,,,,,,,,,,,,esquema,,,,,,,,,,,,,,,,,,,,,,,,,,schema,,,,,,ស្កីម៉ា,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schemes,Noun,,,,,,,,,,,,,,,,,,,,,,,,esquemas,,,,,,,,,,,,,,,,,,,,,,,,,,schemi,,,,,,ច្រើនស្កីម៉ា,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
search,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ricerca,,,,,,ស្វែងរក,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
searching,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ricerca,,,,,,ការស្វែងរក,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
searching,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ricercare,,,,,,កំពុងស្វែងរក,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secure,Adjective,,,,,,,,,,,,,,,,,,,,,,,,seguro,seguro/asesgurar,,,,,,,,,,,,,,,,,zaštićen,,biztonságos,,,,,,sicuro,,,,,,ដែលសុវត្ថិភាព,,,,,,,,,,,,,,,,,,,,,,veilig,,,,,,,,,,,,безопасный,,,,,,varen,,,,,,säker,,,,,,,,,,,,,,,,,,,
secure,Verb,,,,,,,,,,,,,,,,,,,,,,,,asegurar,,,,,,,,,,,,,,,,,,,,,,,,,,garantire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
security,Noun,,,,,,,,,,,,,,,,,,,,,,,,seguridad,,,,,,,,,,,,,,,,,,sigurnost,,,,,,,,sicurezza,,,,,,សុវត្ថិភាព,,,,,,,,,,,,,,,,,,,,,,beveiliging,,,,,,,,,,,,безопасность,,,,,,,,,,,,säkerhet,,,,,,,,,,,,,,,,,,,
see,Verb,,,,,,,,,,,,,,,,,,,,,,,,vea,,,,,,,,,,,,,,,,,,,,,,,,,,vedere,,,,,,មើល,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
server,Noun,,,,,,,,,,,,,,,,,,,,,,,,servidor,,,,,,,,,,,,,,,,,,poslužitelj,,,,,,,,server,,,,,,មាស៊ីនមេ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,сервер,,,,,,,,,,,,server,,,,,,,,,,,,,,,,服务器,,,
service,Noun,,,,,,,,,,,,,,,,,,,,,,,,servicio,,,,,,,,,,,,,,,,,,usluga,,,,,,,,servizio,,,,,,សេវា,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,сервис,,,,,,,,,,,,tjänst,,,,,,,,,,,,,,,,,,,
service,Verb,,,,,,,,,,,,,,,,,,,,,,,,servir,,,,,,,,,,,,,,,,,,,,,,,,,,revisionare,,,,,,ធ្វើសេវា,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,betjäna,,,,,,,,,,,,,,,,,,,
services,Noun,,,,,,,,,,,,,,,,,,,,,,,,servicios,,,,,,,,,,,,,,,,,,,,,,,,,,servizi,,,,,,សេវាច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tjänster,,,,,,,,,,,,,,,,服务,,,
should,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dovere,,,,,,គួរតែ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sign,Verb,,,,,,,,,,,,,,,,,,signieren,,,,,,firmar,,,,,,allekirjoittaa,,,,signer,,,,,,,,potpisati,,aláírni,,,,,,firmare,,,,,,ចុះហត្ថលេខា,,,,,,,,,,,,ഒപ്പു വയ്‌ക്കുക,,,,,,,,,,ondertekenen,,,,,,,,assinar,,,,подписать,,,,,,podpisati,,,,,,signera,,,,,,imzalamak,,підписувати,,,,,,,,签名,,簽署,
signature,Noun,,,,,,,,,,,,,,,,,,Signatur,,,,,,firma,,,,,,allekirjoitus,,,,signature,,,,,,,,potpis,,aláírás,,,,,,firmare,,,,,,ហត្ថលេខា,,,,,,,,,,,,ഒപ്പ്,,,,,,,,,,handtekening,,,,,,,,assinatura,,,,подпись,,,,,,podpis,,,,,,signatur,,,,,,imza,,підпис,,,,,,,,签名,,簽章,
software,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logiciel,,,,,,,,,,,,,,,,software,,,,,,ផ្នែកទន់,,,,,,,,,,,,,,,,,,,,,,software,,,,,,,,,,,,,,,,,,,,,,,,mjukvara,,,,,,,,,,,,,,,,软件,,,
software wallet,Noun,,,,,,,,,,,,,,,,,,,,,,,,monedero de software,,,,,,,,,,portefeuille logiciel,,,,,,,,softverski novčanik,,szoftvertárca,,,,,,portafoglio software,,,,,,កាបូបផ្នែកទន់,,,,,,,,,,,,സോഫ്റ്റ്വെയർ പണസഞ്ചി,,,,,,,,,,softwareportemonnee,,,,,,,,,,,,программа-кошелек,,,,,,programska denarnica,,,,,,mjukvaruplånbok,,,,,,yazılımsal cüzdan,,програмний гаманець,,,,,,,,软件钱包,,,
someone,Pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qualcuno,,,,,,នរណា,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,Noun,,,,,,,,,,,,,,,,,,,,,,,,espacio,,,,,,,,,,Espace,,,,,,,,,,,,,,,,spazio,,,,,,ទំហំ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mellanrum,,,,,,,,,,,,,,,,,,,
specification,Noun,,,,,,,,,,,,,,,,,,,,,,,,especificación,,,,,,,,,,Spécification,,,,,,,,,,,,,,,,specificazione,,,,,,ការបញ្ជាក់លម្អិត,,,,,,,,,,,,,,,,,,,,,,specificatie,,,,,,,,,,,,,,,,,,,,,,,,specifikation,,,,,,,,,,,,,,,,,,,
specifications,Noun,,,,,,,,,,,,,,,,,,,,,,,,especificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,specificazioni,,,,,,ករណីពិសេសច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spend,Verb,,,,,,,,,,,,,,,,,,,,,,,,gastar,,,,خرج کردن,,,,,,,,,,,,,,potrošiti,,,,,,,,spendere,,,,,,ចាយ,,,,,,,,,,,,,,,,,,,,,,Uitgeven,,,,,,,,,,,,тратить,,,,,,trošiti,,,,,,spendera,,,,,,,,,,,,,,,,,,,
sponsored,Adjective,,,,,,,,,,,,,,,,,,,,,,,,patrocinado,,,,,,,,,,,,,,,,,,,,,,,,,,sponsorizzato,,,,,,ដែលបានឧបត្ថម,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stack,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
static,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,statico,,,,,,ថេរ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
static,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,statico,,,,,,ស្តាទីក,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
string,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stringa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sträng,,,,,,,,,,,,,,,,字符串,,,
subscribe,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iscriviti,,,,,,ធ្វើការដឹងជាប្រចាំ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suggest,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suggerire,,,,,,ស្នើ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suggestion,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suggerimento,,,,,,សំនើរ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suggestions,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suggerimenti,,,,,,សំនើរច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synonym,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sinonimo,,,,,,វេវចនៈសព្ទ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synonyms,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sinonimi,,,,,,វេវចនៈសព្ទច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technical,Noun,"Wait, ""technical"" is not a noun!",,,,,,,,,,,,,,,,,,,,,,,técnico,,,,,,,,,,,,,,,,,,tehnički,,,,,,,,tecnico,,,,,,បច្ចេកទេស,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
template,Noun,,,,,,,,,,,,,,,,,,,,,,,,plantilla,,,,,,,,,,,,,,,,,,,,,,,,,,modello,,,,,,template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
term,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,termine,,,,,,លក្ខណ្ឌតិក:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third party,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tredjeparts,,,,,,,,,,,,,,,,,,,
third partу,Noun,,,,,,,,,,,,,,,,,,,,,,,,tercero,un tercero distinto a los involucrados,,,,,,,,,,,,,,,,,treća strana,,,,,,,,terze parti,,,,მესამე მხარე,,ភាគីទីបី,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,третья сторона,"иногда, посредник",,,,,,,,,,,tredje part,,,,,,,,,,,,,,,,第三方,,,
this,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questo,,,,,,នេះ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to,Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,,,,,,ទៅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to,Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,per,,,,,,ដើម្បី,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
today,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oggi,,,,,,បច្ចុប្បន្ន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
traceability,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tracciabilità,,,,,,,,,,,,atsekamumas,,,,,,,,,,,,,,,,,,,,,,,,rastreabilidade,,,,,,,,,,,,,,,,spårbarhet,,,,,,,,,,,,,,,,追踪性,,,
transact,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,göra transaktioner,,,,,,,,,,,,,,,,,,,
transaction,Noun,,,,,,,,,,,,,,,,,,,,,,,,transacción,,,,,,,,,,Transaction,,,,,,,,transakcija,,tranzakció,,,,,,transazione,,,,,,ប្រតិបត្តិការ,,,,,,"transakcija, pavedimas",,"darījums, transakcija",,,,,,,,,,,,,,transactie,,,,,,,,,,,,транзакция,,,,,,nakazilo,,,,,,transaktion,,,,,,,,транзакція,,,,,,,,交易,,,
transaction fee,Noun,,,,,,,,,,,,,,,,,,,,,,,,tasa de transacción,también se puede utilizar comisión,,,,,,,,,Frais de transaction,,,,,,,,naknada na transakciju,,,,,,,,spese di transazione,,,,,,តំលៃប្រតិបត្តិការ,,,,,,pavedimo mokestis,,darījuma komisija,,,,,,,,,,,,,,transactiekosten,,,,,,,,,,,,комиссия,,,,,,nakazilni prispevek,,,,,,transaktionsavgift,,,,,,,,,,,,,,,,交易费,,,
transactions,Noun,,,,,,,,,,,,,,,,,,,,,,,,transacciones,,,,,,,,,,,,,,,,,,,,,,,,,,transazioni,,,,,,ប្រតិបត្តិការច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transaktioner,,,,,,,,,,,,,,,,,,,
translate,Verb,,,,,,,,,,,,,,,,,,,,,,,,traducir,traduzca,,,,,,,,,,,,,,,,,,,,,,,,,tradurre,,,,,,បកប្រែ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,översätta,,,,,,,,,,,,,,,,,,,
translated,Verb,"""translated"" is not a verb!
",,,,,,,,,,,,,,,,,,,,,,,traducido,,,,,,,,,,Traduire,,,,,,,,,,,,,,,,tradotto,,,,,,បាន​បក​ប្រែ,,,,,,išverstas,,,,,,,,,,,,,,,,vertaald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transparency,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trasparenza,,,,,,តម្លាភាព,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trust,Noun,,,,,,,,,,,,,,,,,,,,,,,,confianza,confiar/confianza/confiable,,,,,,,,,Confiance,,,,,,,,povjerenje,,,,,,,,fiducia,,,,,,ភាពទុកចិត្ត,,,,,,pasitikiėjimas,,,,,,,,,,,,,,,,vertrouwen,,,,,,,,,,,,доверие,,,,,,,,besim,,,,förtroende,,,,,,,,,,,,,,,,,,,
trustless,Adjective,,,,,,,,,,,,,,,,,,,,,,,,desconfiable,,,,,,,,,,,,,,,,,,povjerenje nije potrebno,,,,,,,,non richiede fiducia,,,,,,ដែលមិនទុកចិត្ត,,,,,,nepatikimas,,,,,,,,,,,,,,,,,,,,,,,,,,,,не требующий доверия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
